signal_id,signal_date,ticker,company_name_en,company_name_zh,rank,rank_bucket,alpha_direction,alpha_confidence,confidence_score_numeric,expected_horizon,composite_candidate_score,factor_score,technical_timing_score,overheat_status,technical_tags,factor_tags,risk_tags,data_quality_tags,research_tags,freeze_status,latest_signal_freeze_count,paper_tracking_status,shadow_portfolio_membership_count,benchmark_context,forward_evidence_status,operator_action_hint,official_decision_impact,auto_trade,notes
V18_39A_2026-05-27_11_VIAV,2026-05-27,VIAV,,,11,TOP20,LONG_CANDIDATE,MEDIUM,51.8006,1D_5D,51.800559,84.501397,60.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_V18_35D_RECOMPUTE;BB_LOWER_HALF,OK_RECOMPUTED_FACTOR_TECHNICAL;V18_35D_RECOMPUTE,REVIEW_ONLY;WAIT_PULLBACK_REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,10,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,REVIEW_TOP_CANDIDATE,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
V18_39A_2026-05-27_12_CARR,2026-05-27,CARR,,,12,TOP20,LONG_CANDIDATE,MEDIUM,51.6840,1D_5D,51.684,85.71,58.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_NEUTRAL;BB_MID;RSI_NEUTRAL,OK_RECOMPUTED_FACTOR_TECHNICAL;NEUTRAL_SHADOW,NOT_AVAILABLE_RESERVED;REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,1,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,REVIEW_TOP_CANDIDATE,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
V18_39A_2026-05-27_13_ENTG,2026-05-27,ENTG,,,13,TOP20,LONG_CANDIDATE,MEDIUM,51.5720,1D_5D,51.572,91.43,50.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_NEUTRAL;BB_MID;RSI_NEUTRAL,OK_RECOMPUTED_FACTOR_TECHNICAL;NEUTRAL_SHADOW,NOT_AVAILABLE_RESERVED;REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,6,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,REVIEW_TOP_CANDIDATE,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
V18_39A_2026-05-27_14_SITM,2026-05-27,SITM,,,14,TOP20,LONG_CANDIDATE,MEDIUM,51.4035,1D_5D,51.403528,91.00882,50.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_V18_35D_RECOMPUTE;BB_MID,OK_RECOMPUTED_FACTOR_TECHNICAL;V18_35D_RECOMPUTE,REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,8,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,REVIEW_TOP_CANDIDATE,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
V18_39A_2026-05-27_15_CRWV,2026-05-27,CRWV,,,15,TOP20,LONG_CANDIDATE,MEDIUM,50.9240,1D_5D,50.924,83.81,58.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_NEUTRAL;BB_LOWER_HALF;RSI_NEUTRAL,OK_RECOMPUTED_FACTOR_TECHNICAL;NEUTRAL_SHADOW,NOT_AVAILABLE_RESERVED;REVIEW_ONLY;WAIT_PULLBACK_REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,6,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,REVIEW_TOP_CANDIDATE,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
V18_39A_2026-05-27_16_ETR,2026-05-27,ETR,,,16,TOP20,LONG_CANDIDATE,MEDIUM,50.5440,1D_5D,50.544,82.86,58.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_NEUTRAL;BB_LOWER_HALF;RSI_NEUTRAL,OK_RECOMPUTED_FACTOR_TECHNICAL;NEUTRAL_SHADOW,NOT_AVAILABLE_RESERVED;REVIEW_ONLY;WAIT_PULLBACK_REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,3,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,REVIEW_TOP_CANDIDATE,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
V18_39A_2026-05-27_17_TSEM,2026-05-27,TSEM,,,17,TOP20,LONG_CANDIDATE,MEDIUM,50.4281,1D_5D,50.428133,88.570333,50.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_V18_35D_RECOMPUTE;BB_UPPER_HALF,OK_RECOMPUTED_FACTOR_TECHNICAL;V18_35D_RECOMPUTE,REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,8,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,REVIEW_TOP_CANDIDATE,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
V18_39A_2026-05-27_18_COHU,2026-05-27,COHU,,,18,TOP20,LONG_CANDIDATE,MEDIUM,50.4280,1D_5D,50.428,88.57,50.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_NEUTRAL;BB_UPPER_HALF;RSI_STRONG,OK_RECOMPUTED_FACTOR_TECHNICAL;NEUTRAL_SHADOW,NOT_AVAILABLE_RESERVED;REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,8,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,REVIEW_TOP_CANDIDATE,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
V18_39A_2026-05-27_19_HUT,2026-05-27,HUT,,,19,TOP20,LONG_CANDIDATE,MEDIUM,49.7110,1D_5D,49.710963,86.777407,50.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_V18_35D_RECOMPUTE;BB_UPPER_HALF,OK_RECOMPUTED_FACTOR_TECHNICAL;V18_35D_RECOMPUTE,REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,8,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,REVIEW_TOP_CANDIDATE,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
V18_39A_2026-05-27_20_GEV,2026-05-27,GEV,,,20,TOP20,LONG_CANDIDATE,MEDIUM,49.6680,1D_5D,49.668,86.67,50.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_NEUTRAL;BB_MID;RSI_NEUTRAL,OK_RECOMPUTED_FACTOR_TECHNICAL;NEUTRAL_SHADOW,NOT_AVAILABLE_RESERVED;REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,3,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,REVIEW_TOP_CANDIDATE,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
V18_39A_2026-05-27_21_STM,2026-05-27,STM,,,21,TOP50,WATCH,LOW,49.5569,5D_20D,49.556907,86.392267,50.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_V18_35D_RECOMPUTE;BB_UPPER_HALF,OK_RECOMPUTED_FACTOR_TECHNICAL;V18_35D_RECOMPUTE,REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,6,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,WATCHLIST_ONLY,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
V18_39A_2026-05-27_22_FN,2026-05-27,FN,,,22,TOP50,WATCH,LOW,48.9520,5D_20D,48.952,92.38,40.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_NEUTRAL;BB_MID;RSI_NEUTRAL,OK_RECOMPUTED_FACTOR_TECHNICAL;PULLBACK_IN_UPTREND,NOT_AVAILABLE_RESERVED;REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,1,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,WATCHLIST_ONLY,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
V18_39A_2026-05-27_23_ETN,2026-05-27,ETN,,,23,TOP50,WATCH,LOW,48.9040,5D_20D,48.904,84.76,50.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_NEUTRAL;BB_MID;RSI_NEUTRAL,OK_RECOMPUTED_FACTOR_TECHNICAL;NEUTRAL_SHADOW,NOT_AVAILABLE_RESERVED;REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,3,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,WATCHLIST_ONLY,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
V18_39A_2026-05-27_24_HUBB,2026-05-27,HUBB,,,24,TOP50,WATCH,LOW,48.1520,5D_20D,48.152,72.38,64.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_PULLBACK_WATCH;BB_LOWER_HALF;RSI_WEAK,OK_RECOMPUTED_FACTOR_TECHNICAL;NEUTRAL_SHADOW,NOT_AVAILABLE_RESERVED;REVIEW_ONLY;WAIT_PULLBACK_REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,3,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,WATCHLIST_ONLY,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
V18_39A_2026-05-27_25_ALM,2026-05-27,ALM,,,25,TOP50,WATCH,LOW,48.0556,5D_20D,48.055596,67.63899,64.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_V18_35D_RECOMPUTE;BB_LOWER_HALF,OK_RECOMPUTED_FACTOR_TECHNICAL;V18_35D_RECOMPUTE,REVIEW_ONLY;WAIT_PULLBACK_REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,10,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,WATCHLIST_ONLY,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
V18_39A_2026-05-27_26_POWL,2026-05-27,POWL,,,26,TOP50,WATCH,LOW,47.8760,5D_20D,47.876,76.19,58.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_NEUTRAL;BB_MID;RSI_NEUTRAL,OK_RECOMPUTED_FACTOR_TECHNICAL;NEUTRAL_SHADOW,NOT_AVAILABLE_RESERVED;REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,10,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,WATCHLIST_ONLY,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
V18_39A_2026-05-27_27_COHR,2026-05-27,COHR,,,27,TOP50,WATCH,LOW,47.7600,5D_20D,47.76,81.9,50.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_NEUTRAL;BB_UPPER_HALF;RSI_STRONG,OK_RECOMPUTED_FACTOR_TECHNICAL;NEUTRAL_SHADOW,NOT_AVAILABLE_RESERVED;REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,3,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,WATCHLIST_ONLY,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
V18_39A_2026-05-27_28_BW,2026-05-27,BW,,,28,TOP50,WATCH,LOW,47.5212,5D_20D,47.5212,88.803,40.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_V18_35D_RECOMPUTE;BB_UPPER_HALF,OK_RECOMPUTED_FACTOR_TECHNICAL;V18_35D_RECOMPUTE,REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,6,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,WATCHLIST_ONLY,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
V18_39A_2026-05-27_29_AVGO,2026-05-27,AVGO,,,29,TOP50,WATCH,LOW,47.3800,5D_20D,47.38,80.95,50.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_NEUTRAL;BB_MID;RSI_NEUTRAL,OK_RECOMPUTED_FACTOR_TECHNICAL;NEUTRAL_SHADOW,NOT_AVAILABLE_RESERVED;REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,1,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,WATCHLIST_ONLY,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
V18_39A_2026-05-27_30_ACM,2026-05-27,ACM,,,30,TOP50,WATCH,LOW,47.0680,5D_20D,47.068,66.67,68.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_WATCH_POSITIVE;BB_LOWER_HALF;RSI_WEAK,OK_RECOMPUTED_FACTOR_TECHNICAL;NEUTRAL_SHADOW,NOT_AVAILABLE_RESERVED;REVIEW_ONLY;WAIT_PULLBACK_REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,1,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,WATCHLIST_ONLY,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
V18_39A_2026-05-27_31_CAMT,2026-05-27,CAMT,,,31,TOP50,WATCH,LOW,47.0000,5D_20D,47.0,80.0,50.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_NEUTRAL;BB_MID;RSI_NEUTRAL,OK_RECOMPUTED_FACTOR_TECHNICAL;NEUTRAL_SHADOW,NOT_AVAILABLE_RESERVED;REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,10,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,WATCHLIST_ONLY,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
V18_39A_2026-05-27_32_FORM,2026-05-27,FORM,,,32,TOP50,WATCH,LOW,46.6200,5D_20D,46.62,79.05,50.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_NEUTRAL;BB_MID;RSI_NEUTRAL,OK_RECOMPUTED_FACTOR_TECHNICAL;MOMENTUM_STRONG_NOT_PULLBACK,NOT_AVAILABLE_RESERVED;REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,10,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,WATCHLIST_ONLY,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
V18_39A_2026-05-27_33_PLUG,2026-05-27,PLUG,,,33,TOP50,WATCH,LOW,46.1996,5D_20D,46.199608,77.99902,50.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_V18_35D_RECOMPUTE;BB_UPPER_HALF,OK_RECOMPUTED_FACTOR_TECHNICAL;V18_35D_RECOMPUTE,REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,6,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,WATCHLIST_ONLY,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
V18_39A_2026-05-27_34_GLW,2026-05-27,GLW,,,34,TOP50,WATCH,LOW,45.8560,5D_20D,45.856,77.14,50.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_NEUTRAL;BB_UPPER_HALF;RSI_NEUTRAL,OK_RECOMPUTED_FACTOR_TECHNICAL;NEUTRAL_SHADOW,NOT_AVAILABLE_RESERVED;REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,6,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,WATCHLIST_ONLY,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
V18_39A_2026-05-27_35_AGX,2026-05-27,AGX,,,35,TOP50,WATCH,LOW,45.6235,5D_20D,45.623519,69.058797,58.0,NOT_AVAILABLE_RESERVED,TECH_TIMING_V18_35D_RECOMPUTE;BB_LOWER_HALF,OK_RECOMPUTED_FACTOR_TECHNICAL;V18_35D_RECOMPUTE,REVIEW_ONLY;WAIT_PULLBACK_REVIEW_ONLY,,PENDING_FORWARD_OUTCOME;V18_38B_EXPERIMENTS_REGISTERED;SHADOW_PORTFOLIO_MEMBER,IN_LATEST_FREEZE,318,PENDING_FORWARD_RETURN_FILL,10,SPY_QQQ_AVAILABLE,PENDING_FORWARD_OUTCOME,WATCHLIST_ONLY,NONE,DISABLED,Signal object normalization only; not a buy recommendation.
